Procerus,降眉间肌
1st Molar Mandibular Left,第一磨牙，下颌，左
2nd Premolar Maxillary Left,第二前磨牙，上颌，左
2nd Premolar Mandibular Left,第二前磨牙，下颌，左
1st Premolar Maxillary Left,第一前磨牙，上颌，左
1st Premolar Mandibular Left,第一前磨牙，下颌，左
Canine Maxillary Left,犬牙，上颌，左
Canine Mandibular Left,犬牙，下颌，左
Lateral Incisor Maxillary Left,侧切牙，上颌，左
Lateral Incisor Mandibular Left,侧切牙，下颌，左
Central Incisor Maxillary Left,中切牙，上颌，左
Central Incisor Mandibular Left,中切牙，下颌，左
Atlas C1,寰椎，C1
Axis C2,枢椎，C2
Cervical Vertebra C3,颈椎，C3
Cervical Vertebra C4,颈椎，C4
Cervical Vertebra C5,颈椎，C5
Cervical Vertebra C6,颈椎，C6
Cervical Vertebra C7,颈椎，C7
Thoracic Vertebra T1,胸椎，T1
Thoracic Vertebra T2,胸椎，T2
Thoracic Vertebra T3,胸椎，T3
Thoracic Vertebra T4,胸椎，T4
Thoracic Vertebra T5,胸椎，T5
Thoracic Vertebra T6,胸椎，T6
Thoracic Vertebra T7,胸椎，T7
Thoracic Vertebra T8,胸椎，T8
Thoracic Vertebra T9,胸椎，T9
Thoracic Vertebra T10,胸椎，T10
Thoracic Vertebra T11,胸椎，T11
Thoracic_Vertebra_T12,胸椎，T12
Lumbar Vertebra L1,腰椎，L1
Lumbar Vertebra L2,腰椎，L2
Lumbar Vertebra L3,腰椎，L3
Lumbar Vertebra L4,腰椎，L4
Lumbar Vertebra L5,腰椎，L5
Scapula,肩胛骨
Clavicle,锁骨
Sternum,胸骨
1st Rib Right,第一肋骨，右
2nd Rib Right,第二肋骨，右
3rd Rib Right,第三肋骨，右
4th Rib Right,第四肋骨，右
5th Rib Right,第五肋骨，右
6th Rib Right,第六肋骨，右
7th Rib Right,第七肋骨，右
8th Rib False Right,第八肋骨，右
9th Rib False Right,第九肋骨，右
10th Rib False Right,第十肋骨，右
11th Rib False Floating Right,第十一肋骨，假，右
12th Rib False Floating Right,第十二肋骨，假，右
1st Rib Left,第一肋骨，左
2nd Rib Left,第二肋骨，左
3rd Rib Left,第三肋骨，左
4th Rib Left,第四肋骨，左
5th Rib Left,第五肋骨，左
6th Rib Left,第六肋骨，左
7th Rib Left,第七肋骨，左
8th Rib False Left,第八肋骨，左
9th Rib False Left,第九肋骨，左
10th Rib False Left,第十肋骨，左
11th Rib False Floating Left,第十一肋骨，假，左
12th Rib False Floating Left,第十二肋骨，假，左
Hip bone,髋骨
Sacrum,骶骨
Pubis Symphysis,耻骨联合
Scaphoid,舟状骨
Lunate,月骨
Trapezium,大多角骨
Trapezoid,小多角骨
Capitate,头状骨
Hamate,钩骨
Triquetrum,三角骨
Pisiform,豌豆骨
1st Metacarpal,第一掌骨
2nd Metacarpal,第二掌骨
3rd Metacarpa,第三掌骨
4th Metacarpal,第四掌骨
5th Metacarpa,第五掌骨
1st Proximal Phalanx,第一近节指骨
2nd Proximal Phalanx,第二近节指骨
3rd Proximal Phalanx,第三近节指骨
4th Proximal Phalanx,第四近节指骨
5th Proximal Phalanx,第五近节指骨
1st Distal Phalanx,第一末节指骨
2nd Middle Phalanx,第二中节指骨
3rd Middle Phalanx,第三中节指骨
4th Middle Phalanx,第四中节指骨
5th Proximal Phalanx,第五中节指骨
2nd Distal Phalanx,第二末节指骨
3rd Distal Phalanx,第三末节指骨
4th Distal Phalanx,第四末节指骨
Femur,股骨
Patella,髌骨
Tibia,胫骨
Fibula,腓骨
Calcaneus,跟骨
Cuboid,骰骨
Lateral Cuneiform,外侧楔状骨
Intermediate Cuneiform,中间楔状骨
Medial Cuneiform,内侧楔状骨
1st Metatarsal,第一跖骨
2nd Metatarsal,第二趾骨
3rd Metatarsal,第三跖骨
4th Metatarsal,第四跖骨
5th Metatarsal,第五跖骨
1st Proximal Phalanx_Right Foot,第一近节指骨
2nd Proximal Phalanx_Right Foot,第二近节指骨
3rd Proximal Phalanx_Right Foot,第三近节指骨
4th Proximal Phalanx_Right Foot,第四近节指骨
5th Proximal Phalanx_Right Foot,第五近节指骨
2nd Middle Phalanx_Right Foot,第二中节指骨
3rd Middle Phalanx_Right Foot,第三中节指骨
4th Middle Phalanx_Right Foot,第四中节指骨
5th Middle Phalanx_Right Foot,第五中节指骨
1st Distal Phalanx_Right Foot,第一末节指骨
2nd Distal Phalanx_Right Foot,第二末节指骨
3rd Distal Phalanx_Right Foot,第三末节指骨
4th Distal Phalanx_Right Foot,第四末节指骨
5th Distal Phalanx_Right Foot,第五末节指骨
cervical vertebra,颈椎骨
Vertebra Column,椎柱
